order,author,Book_name,recommend,Reading_people,info,cover
121,欧·亨利,欧亨利短篇小说精选,85.1%,905,本书精选了欧·亨利以不同背景创作的二十八篇作品——所有著名代表作品均已包含其中，并特别收录了他一生中最后一篇尚未完成的小说《梦》。在这些作品中，欧·亨利以风趣犀利的语言解构了生存的种种窘迫，用峰回路转的结尾为人生扩展出无数的可能性。正如他在小说《麦琪的礼物》中所言：人世间所谓的生活是由哭泣、抽噎、破涕为笑组合而成的。而他的文章如同冬夜里一盏小小的烛火，让你在想要落泪的时候，绽开一个“泛着泪光的微笑”。,https://wfqqreader-1252317822.image.myqcloud.com/cover/153/547153/t6_547153.jpg
122,周梵,先学会爱自己，再遇见对的你,83.5%,533,幸福心理学关系教练、女性自爱力探索者周梵2019年重磅新作！只有爱上真实的自己，他才会好好来爱你！周梵老师将自己十四年爱情、婚姻经历，再加上千个来访者真实咨询案例，打造千万都市男女都需要的亲密关系修炼指南！99%的亲密关系问题其实是出现在自己身上，请把幸福的选择权放在自己手里！跟随周梵老师，修好爱的私教课，让幸福流动！如果你曾在亲密关系中遇到困难，请你跟随周老师学习以下方法：戒除自己的“好人瘾”，真实地表达自己；用来控制别人的东西，都会反过来控制自己；不要让自己成为过度付出者或过度索取者；所有的伪装都会带来对自我和关系的消耗；成熟意味着看到另一个人的多元性与复杂性；,https://wfqqreader-1252317822.image.myqcloud.com/cover/732/23921732/t6_23921732.jpg
123,陈磊·混知团队 陈晋,漫画百年党史·开天辟地（1921—1949）,94.1%,431,“漫画中共党史”丛书之一。书稿以详略得当、脉络清晰、生动有趣的漫画形式，以突破以往又厚重又严肃的党史类书籍的写作方式为创作宗旨，通过手绘漫画讲述党史故事。本卷的起止时间为1919年—1927年。书稿从中共成立前夕的五四运动讲起，重点讲述中共一大、第一次国共合作、五卅运动、大革命、北伐、大革命失败、南昌起义这一阶段党史上这一系列重大事件发生的背景、经过及影响，反映中国共产党从成立之初到建立自己的武装的历史过程。,https://wfqqreader-1252317822.image.myqcloud.com/cover/528/40757528/t6_40757528.jpg
124,陈磊·半小时漫画团队,半小时漫画历史系列（共7册）（中国史1-5+世界史1-2）,91.8%,2426,混子哥新作！看半小时漫画，通古今中外历史！其实是严谨的极简中国史+世界史。从春秋战国到宋元明清，从四大文明古国到欧洲、日本、美国……翻开本书，在笑出腹肌的同时通晓历史。《半小时漫画中国史1-5》：春秋战国像个班级；大秦过把瘾就死；楚汉之争八卦多；三国就三大战役；大唐盛世开门红；两宋繁荣特有钱；元朝皇帝换得快；大明皇大多逃不开斗外敌、斗奸臣、平内乱三件事；清朝皇帝非常努力，但挡不住世界改革的浪潮……《半小时漫画世界史1-2》：简到崩溃的极简欧洲史、美国往事三部曲、一口气就能读完的日本史。四大文明古国组团出道，为啥只剩中国屹立不倒？翻开本书，在铺天盖地的段子中，看懂另外三大文明古国的前世今生！,https://wfqqreader-1252317822.image.myqcloud.com/cover/55/39111055/t6_39111055.jpg
125,李玫瑾,心理抚养,93.8%,2275,心理抚养是一种全新的育儿理念。在养育孩子的过程中，父母往往特别重视孩子是否吃饱穿暖、身高体重如何、是否活泼健康，把这些当成爱的全部，却因为疏于了解、关注婴幼儿、青少年的心理健康，从而导致孩子在成长过程中产生了一些难以逆转的心理困境，特别是进入青春期后，会出现拒绝交流、出走、顶撞、不合群、学习困难等问题。对此，心理学专家李玫瑾在《心理抚养》一书中向父母传递了这样一种理念：养育孩子，心理抚养比物质抚养更加重要。作者认为，心理抚养主要包括情感、性格、观念、能力四个方面，父母必须参与心理抚养的全过程，通过陪伴与关爱获得孩子的依恋感，进而获得管教孩子、“立规矩”的资本。家长通过参与孩子成长，进行情感抚育，教他做人做事，这种心理抚养比满足孩子的物质需求更重要。“父母亲自陪伴孩子成长，比给孩子挣钱更有价值”，我们不能错过塑造孩子未来人生的最佳和最关键时期。,https://wfqqreader-1252317822.image.myqcloud.com/cover/909/41599909/t6_41599909.jpg
126,一行禅师,佛陀传：全世界影响力最大的佛陀传记,92.5%,928,享誉海内外的佛学大师一行禅师经典作品，他沉稳迷人地讲述了佛陀80岁的完整一生，佛法的起源与奥妙，就这样在您面前徐徐展开。无论你有没有佛学根基，阅读本书，都是一次充满喜乐和感动，受益匪浅的修行。自从1991年在美国初次出版以来，二十多年的时间，《佛陀传》已成为全世界佛学爱好者的入门书。一行禅师沉稳迷人地讲述了佛陀释迦牟尼从出生、成长、出家、修行、得道、弘法，直至灭寂的完整一生。娓娓道来的佛陀生平故事，融汇着佛法的精深奥妙；无论你有没有佛学根基，阅读《佛陀传》，都是一次充满喜乐和感动，受益匪浅的修行。,https://wfqqreader-1252317822.image.myqcloud.com/cover/241/24020241/t6_24020241.jpg
127,伊丽莎白·吉尔伯特,女孩之城,92.4%,1040,1940年，二战伊始，19岁的富家少女薇薇安从瓦萨学院退学，投奔在纽约经营莉莉剧院的姑姑佩格。在这个华丽却摇摇欲坠的老式剧院里，薇薇安发掘了自己设计戏服的天赋，认识了一群影响她一生的女人：纵情声色，梦想用美貌征服世界的舞女西莉亚；从头到脚都严肃平庸，却是特立独行的姑姑所深爱恋人的奥利芙；视戏剧如生命的英国女演员、没有一刻不美的风格教母艾德娜；看上去荒唐透顶，却对人生很有想法的二手服装店古怪少女玛乔丽。借由她们，薇薇安经历了一场从身体到思想的解放，在纽约尽情去体验她所理解的魅力与自由。直到一次意外的性丑闻事件发生，薇薇安仓皇逃离纽约，由此开始了迈向成熟的自我之旅…… 70年后，89岁的薇薇安用一封长信，给一个名叫安吉拉的女权主义者讲述自己这一生的经历：她眼中的纽约，这座“她们的城”中闪耀迷醉的日日夜夜，她对缝纫与服装的热爱，她的耻辱与伤痛，她所领悟到的爱与自由……终其一生，她都没有成为那个时代所希望她成为的“淑女”，但这个世界多了一个真实的薇薇安·莫里斯，她循着内心的火焰度过了一生。,https://wfqqreader-1252317822.image.myqcloud.com/cover/401/32042401/t6_32042401.jpg
128,列夫·托尔斯泰,安娜·卡列尼娜（经典译林）,83.8%,1217,《安娜·卡列尼娜》是托尔斯泰第二部里程碑式的长篇小说，创作于1873—1877年。作品由两条既平行又相互联系的线索构成：一条是安娜与卡列宁、伏伦斯基之间的家庭、婚姻和爱情纠葛；一条是列文和吉娣的爱情生活及列文进行的庄园改革。安娜是一个上流社会的贵妇人，年轻漂亮，追求个性解放和爱情自由，而她的丈夫却是一个性情冷漠的“官僚机器”。一次在车站上，安娜和年轻军官伏伦斯基邂逅，后者为她的美貌所吸引，拼命追求。最终安娜堕入情网，毅然抛夫别子和伏伦斯基同居。但对儿子的思念和周围环境的压力使她陷入痛苦和不安中，而且她逐渐发现伏伦斯基并非一个专情的理想人物。,https://wfqqreader-1252317822.image.myqcloud.com/cover/175/856175/t6_856175.jpg
129,毕飞宇,推拿（茅盾文学奖获奖作品）,84.7%,629,茅盾文学奖获奖作品！柏林国际电影节银熊奖、台湾电影金马奖获奖电影《推拿》原著小说，电影由秦昊、郭晓东、黄轩、张磊、梅婷等人主演。本着对盲人最大的尊重与理解，描述了一群盲人按摩师独特的生活，细微而独到，深入到了这一特殊群体的心灵。在这群鲜活的人群里，有野心勃勃的创业者沙复明、张宗琪，有陷入爱情为结婚发愁的王大夫、小孔，有陷入欲望和伦理纠葛中的小马，有在传奇爱情中受伤的泰来，有大胆泼辣不远千里地主动追求爱情的金嫣，有“美”得不可胜收又突然凋零的都红。每一个故事都透露出凄美与动人，无不表现了尊严、爱、责任、欲望在人生中的纠结。而这些人生的矛盾与挣扎，在黑暗的世界里似乎显得愈发敏感。小说最大的意义在于，写出了残疾人的快乐、忧伤、爱情、欲望、狂想，打破了我们对残疾人认知的情感牢笼。,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/674039/t6_674039.jpg
130,欧文·亚隆,当尼采哭泣,89.2%,773,心理学大师欧文·亚隆经典心理小说，2007年被拍成同名电影。当名医遇到哲学超人，演绎出心理咨询的诞生过程！初级心理咨询师推荐必读书目！ 如诗般的语言，精心的故事设计，巧妙的编剧手法，其悬疑程度堪比《嫌疑人x的献身》。书中人物来自真实的历史：尼采、布雷尔、弗洛伊德和莎乐美，开启一段扣人心弦的故事。从内容来说，本书探讨的话题涵盖面很广，你可以看到中年危机、女性意识、婚姻问题、操纵与索求、情绪勒索、自我探索、现实问题等话题，以及歇斯底里症、强迫性思想、偏头痛、焦虑等病征的描述。,https://wfqqreader-1252317822.image.myqcloud.com/cover/799/855799/t6_855799.jpg
